University of Texas at San Antonio Schedule of Classes

These are the search criteria you submitted :
Term: Fall 2019
Subject:     CS 
Course Number: %%
Attributes: Any
Part of Term: Any
Time Blocks: Any
Campus: Any

FALL 2019 (202010)
Status,Subject,Course,Section,CRN,Title,Cred,Meeting Days,Times,Campus,Location,Instructor,Date,Weeks,Seats,Enrolled,Available,Final Exam,Fees,Notes,Comments
OPEN,CS,1063,001,23013,Intro to Comp Programming I,  3,MWF,12:00-12:50pm,Main Camp,NPB 1.202,Zhang, Weining,08/26-12/13,17,60,53,7,Sat  Dec 07  07:00 am - 09:30 am  ,   $30,O,Enrollment in CS 1063 is restricted to non-Computer Science majors & minors. Computer Science majors & minors should enroll in CS 1083.
OPEN,CS,1083,001,20887,Prog I for Computer Scientists,  3,MW,6:00-7:15pm,Main Camp,NPB 1.202,Gomez-Morales, Mauricio Alejandro,08/26-12/13,17,60,44,16,Mon  Dec 09  06:00 pm - 08:30 pm  ,   $30,O,Enrollment in this class is restricted to Computer Science majors & minors.
OPEN,CS,1083,002,20919,Prog I for Computer Scientists,  3,MWF,1:00-1:50pm,Main Camp,NPB 1.238,Gomez-Morales, Mauricio Alejandro,08/26-12/13,17,60,58,2,Tue  Dec 10  12:30 pm - 03:00 pm  ,   $30,O,Enrollment in this class is restricted to Computer Science majors and minors.
OPEN,CS,1083,003,20947,Prog I for Computer Scientists,  3,MWF,10:00-10:50am,Main Camp,NPB 1.202,Zhang, Weining,08/26-12/13,17,60,59,1,Wed  Dec 11  07:00 am - 09:30 am  ,   $30,O,Enrollment in this class is restricted to Computer Science majors & minors.
OPEN,CS,1083,004,23014,Prog I for Computer Scientists,  3,MWF,3:00-3:50pm,Main Camp,NPB 1.202,Boyd, Lee,08/26-12/13,17,60,52,8,Thu  Dec 12  03:15 pm - 05:45 pm  ,   $30,O,Enrollment in this class is restricted to Computer Science majors & minors.
OPEN,CS,1083,005,23875,Prog I for Computer Scientists,  3,TR,8:30-9:45am,Main Camp,NPB 1.238,Tran, Richard V.,08/26-12/13,17,60,59,1,Fri  Dec 13  09:45 am - 12:15 pm  ,   $30,O,Enrollment in this class is restricted to Computer Science majors and minors.
CANCELED,CS,1083,006,23939,Prog I for Computer Scientists,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,60,0,60,To be determined by instructor ,   $30,O,Enrollment in this class is restricted to Computer Science & minors.
OPEN,CS,1173,001,17226,Data Analysis and Visual(Q),  3,TR,10:00-11:15am,Main Camp,NPB 1.202,Roberson, Dawnlee J.,08/26-12/13,17,75,73,2,Mon  Dec 09  09:45 am - 12:15 pm  ,   $42,O, & minors.Course satisfies UTSA quantitative scholarship requirement
OPEN,CS,1173,002,17227,Data Analysis and Visual(Q),  3,TR,6:00-7:15pm,Main Camp,NPB 1.238,Rutherford, Linda B.,08/26-12/13,17,60,54,6,Tue  Dec 10  06:00 pm - 08:30 pm  ,   $42,O,Course satisfies UTSA quantitative scholarship requirement.
OPEN,CS,1173,003,13310,Data Analysis and Visual(Q),  3,TBA,TBA,Internet, ,Roberson, Dawnlee J.,08/26-12/13,17,98,77,21,To be determined by instructor ,  $117,O,Mandatory meeting for Midterm and Final. October 5  2019 and December 7  2019  10 am to 4 pm in room NPB 1.202. Course satisfies UTSA quantitative scholarship requirement.
OPEN,CS,1173,004,13357,Data Analysis and Visual(Q),  3,TBA,TBA,Internet, ,Roberson, Dawnlee J.,08/26-12/13,17,98,88,10,To be determined by instructor ,  $117,O,Mandatory meeting for Midterm and Final. October 5  2019 and December 7  2019  10 am to 4 pm in room NPB 1.202. Course satisfies UTSA quantitative scholarship requirement.
CANCELED,CS,1173,005,24753,Data Analysis and Visual (Q),  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,60,0,60,To be determined by instructor ,   $42,O,Course satisfies UTSA quantitative scholarship requirement.
